Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登陆页面-3,5,188,190,229,239,239,109,239,0.000%,4.81696,16.69,2.65
登陆页面,5,188,190,229,239,239,109,239,0.000%,4.81232,16.67,2.65
登陆操作-5,5,659,717,829,850,850,364,850,0.000%,2.94464,82.59,5.45
登陆操作-6,5,516,538,542,557,557,429,557,0.000%,2.67094,298.35,1.64
登陆操作-10,5,339,343,349,371,371,312,371,0.000%,2.75482,1.39,2.34
登陆操作-9,5,383,321,358,615,615,305,615,0.000%,2.39578,1.20,2.03
登陆操作,5,1899,1876,1988,2374,2374,1457,2374,0.000%,1.55087,218.30,6.46
填写文章页面-2,5,909,918,934,1020,1020,807,1020,0.000%,1.79404,160.72,1.83
填写文章页面-4,5,279,289,301,367,367,203,367,0.000%,2.41313,281.98,1.13
填写文章页面,5,1188,1174,1207,1223,1223,1168,1223,0.000%,1.67001,344.75,2.49
填写文章-9,5,213,226,234,302,302,141,302,0.000%,2.48880,6.00,1.88
填写文章-10,5,564,408,418,1305,1305,306,1305,0.000%,2.36295,9.01,2.29
填写文章,5,777,608,634,1539,1539,526,1539,0.000%,2.06782,12.87,3.56
移至回收站1-21,5,357,308,335,554,554,291,554,0.000%,2.37304,1.35,3.37
移至回收站1-22,5,691,702,732,754,754,591,754,0.000%,2.24115,203.70,2.36
移至回收站1-23,5,236,242,256,268,268,207,268,0.000%,2.63713,1.91,2.03
移至回收站1-24,5,425,185,365,1225,1225,169,1225,0.000%,2.47647,3.44,1.85
移至回收站1-26,5,236,243,249,307,307,186,307,0.000%,3.22997,4.55,2.49
移至回收站1-27,5,286,260,328,384,384,215,384,0.000%,2.96033,7.66,2.22
移至回收站1-25,5,388,400,451,461,461,257,461,0.000%,2.66667,312.12,1.99
移至回收站1,5,2621,2432,2631,3506,3506,2140,3506,0.000%,1.12562,241.58,7.05
移至回收站2-35,5,460,479,483,528,528,346,528,0.000%,2.32992,8.79,2.00
移至回收站2-36,5,392,414,424,429,429,328,429,0.000%,2.30947,8.71,2.19
移至回收站2-37,5,454,450,484,493,493,410,493,0.000%,2.22519,1.26,3.15
移至回收站2-38,5,688,731,745,855,855,435,855,0.000%,2.22519,45.05,2.33
移至回收站2-40,5,316,369,381,443,443,96,443,0.000%,3.35796,2.19,4.67
移至回收站2,5,2311,2407,2504,2514,2514,1835,2514,0.000%,1.44760,41.99,8.19
总体,135,665,414,1539,2374,2631,96,3506,0.000%,13.85184,616.15,20.36
