date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-18,4.69,4.73,4.67,4.66,188006.41,-0.05,-1.06,4.73,4.645,4.561,315024.94,322012.65,252219.81,0.52
2021-01-15,4.75,4.82,4.72,4.68,248702.95,-0.06,-1.25,4.738,4.643,4.554,370998.81,336726.55,250951.53,0.69
2021-01-14,4.78,4.88,4.78,4.72,365453.06,-0.01,-0.21,4.72,4.622,4.546,401804.15,333134.51,245559.63,1.01
2021-01-13,4.68,4.82,4.79,4.63,409339.16,0.1,2.13,4.644,4.586,4.534,374895.13,310016.0,233473.18,1.13
2021-01-12,4.66,4.73,4.69,4.62,363623.12,-0.02,-0.42,4.584,4.552,4.525,334765.81,287682.2,222528.38,1.01
2021-01-11,4.71,4.83,4.71,4.65,467875.75,0.08,1.73,4.56,4.522,4.517,329000.35,268317.1,213406.64,1.3
2021-01-08,4.42,4.64,4.63,4.39,402729.66,0.23,5.23,4.548,4.496,4.511,302454.3,235959.44,200583.21,1.12
2021-01-07,4.48,4.48,4.4,4.38,230907.95,-0.09,-2.0,4.524,4.478,4.51,264464.88,210872.77,193296.03,0.64
2021-01-06,4.53,4.55,4.49,4.46,208692.55,-0.08,-1.75,4.528,4.482,4.522,245136.87,201948.3,192065.22,0.58
2021-01-05,4.65,4.66,4.57,4.53,334795.84,-0.08,-1.72,4.52,4.476,4.533,240598.6,200699.85,190942.95,0.93
2021-01-04,4.51,4.66,4.65,4.48,335145.5,0.14,3.1,4.484,4.476,4.541,207633.84,182426.98,184867.89,0.93
2020-12-31,4.42,4.52,4.51,4.41,212782.55,0.09,2.04,4.444,4.464,4.549,169464.58,165176.51,178158.44,0.59
2020-12-30,4.46,4.46,4.42,4.4,134267.89,-0.03,-0.67,4.432,4.47,4.568,157280.66,157984.75,176339.45,0.37
2020-12-29,4.36,4.47,4.45,4.36,186001.22,0.06,1.37,4.436,4.481,4.594,158759.72,156930.36,180902.05,0.52
2020-12-28,4.46,4.46,4.39,4.35,169972.06,-0.06,-1.35,4.432,4.498,4.618,160801.09,157374.56,190233.62,0.47
2020-12-25,4.45,4.48,4.45,4.42,144299.17,0.0,0.0,4.468,4.512,4.642,157220.11,158496.18,197063.85,0.4
2020-12-24,4.45,4.51,4.45,4.44,151862.94,0.01,0.23,4.484,4.526,4.666,160888.45,165206.99,209759.41,0.42
2020-12-23,4.44,4.49,4.44,4.41,141663.23,0.01,0.23,4.508,4.542,4.697,158688.83,175719.3,218831.46,0.39
2020-12-22,4.55,4.57,4.43,4.43,196208.06,-0.14,-3.06,4.526,4.561,4.733,155100.99,182182.14,236728.69,0.54
2020-12-21,4.52,4.59,4.57,4.5,152067.16,0.04,0.88,4.564,4.589,4.776,153948.02,181186.06,239301.81,0.42
2020-12-18,4.6,4.6,4.53,4.51,162640.84,-0.04,-0.88,4.556,4.605,4.81,159772.24,187308.79,246042.63,0.45
2020-12-17,4.52,4.59,4.57,4.49,140864.88,0.04,0.88,4.568,4.634,4.844,169525.53,191140.36,249035.81,0.39
2020-12-16,4.58,4.59,4.53,4.52,123724.01,-0.09,-1.95,4.576,4.665,4.874,192749.76,194694.16,254030.01,0.34
2020-12-15,4.55,4.65,4.62,4.52,190443.2,0.09,1.99,4.596,4.706,4.906,209263.28,204873.74,261495.39,0.53
2020-12-14,4.58,4.62,4.53,4.51,181188.27,-0.06,-1.31,4.614,4.737,4.934,208424.1,223092.69,265747.02,0.5
2020-12-11,4.61,4.64,4.59,4.52,211407.27,-0.02,-0.43,4.654,4.772,4.969,214845.35,235631.53,270881.97,0.59
2020-12-10,4.69,4.75,4.61,4.59,256986.05,-0.02,-0.43,4.7,4.806,4.998,212755.2,254311.84,272084.66,0.71
2020-12-09,4.74,4.74,4.63,4.62,206291.62,-0.08,-1.7,4.754,4.852,5.027,196638.55,261943.63,273001.39,0.57
2020-12-08,4.72,4.77,4.71,4.69,186247.27,-0.02,-0.42,4.816,4.904,5.054,200484.19,291275.25,282998.55,0.52
2020-12-07,4.83,4.86,4.73,4.71,213294.52,-0.09,-1.87,4.86,4.962,5.073,237761.29,297417.57,295354.61,0.59
2020-12-04,4.88,4.91,4.82,4.77,200956.53,-0.06,-1.23,4.89,5.014,5.094,256417.71,304776.48,317633.99,0.56
2020-12-03,4.94,4.95,4.88,4.86,176402.81,-0.06,-1.22,4.912,5.054,5.112,295868.48,306931.27,342512.4,0.49
2020-12-02,4.96,5.0,4.94,4.89,225519.81,0.01,0.2,4.95,5.083,5.121,327248.71,313365.87,373722.96,0.62
2020-12-01,4.88,5.05,4.93,4.84,372632.78,0.05,1.02,4.992,5.106,5.11,382066.31,318117.05,385382.91,1.03
2020-11-30,4.95,5.04,4.88,4.86,306576.62,-0.05,-1.01,5.064,5.131,5.095,357073.84,308401.34,384867.81,0.85
2020-11-27,5.08,5.11,4.93,4.86,398210.38,-0.14,-2.76,5.138,5.165,5.083,353135.24,306132.41,405066.17,1.1
2020-11-26,5.17,5.18,5.07,5.04,333303.97,-0.08,-1.55,5.196,5.19,5.059,317994.05,289857.48,411953.42,0.92
2020-11-25,5.26,5.57,5.15,5.14,499607.78,-0.14,-2.65,5.216,5.202,5.018,299483.04,284059.15,400247.39,1.38
2020-11-24,5.25,5.34,5.29,5.22,247670.45,0.04,0.76,5.22,5.204,4.975,254167.8,274721.86,381172.95,0.69
2020-11-23,5.22,5.32,5.25,5.16,286883.62,0.03,0.57,5.198,5.184,4.925,259728.85,293291.65,373231.3,0.79
2020-11-20,5.15,5.25,5.22,5.1,222504.44,0.05,0.97,5.192,5.173,4.876,259129.58,330491.5,368447.97,0.62
