date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-18,11.89,12.06,11.96,11.84,178746.88,0.06,0.5,12.016,12.222,12.339,273345.34,321091.8,376742.41,1.03
2021-01-15,11.91,12.1,11.9,11.83,176544.31,-0.05,-0.42,12.02,12.321,12.37,304711.32,354361.99,393575.54,1.01
2021-01-14,11.85,12.1,11.95,11.73,212732.42,0.0,0.0,12.13,12.45,12.397,330922.32,407660.86,410182.43,1.22
2021-01-13,12.21,12.27,11.95,11.7,374433.91,-0.37,-3.0,12.202,12.498,12.412,372894.62,422610.76,418351.83,2.15
2021-01-12,11.9,12.43,12.32,11.75,424269.16,0.34,2.84,12.33,12.528,12.445,362979.04,420024.47,416223.1,2.44
2021-01-11,12.45,12.53,11.98,11.97,335576.78,-0.47,-3.77,12.428,12.517,12.47,368838.26,412896.01,411519.17,1.93
2021-01-08,12.27,12.68,12.45,12.1,307599.31,0.14,1.14,12.622,12.559,12.513,404012.66,422028.0,416350.09,1.77
2021-01-07,12.64,12.74,12.31,12.0,422593.94,-0.28,-2.22,12.77,12.553,12.547,484399.41,438205.19,426957.07,2.43
2021-01-06,12.85,12.97,12.59,12.47,324856.03,-0.22,-1.72,12.794,12.538,12.592,472326.89,429559.02,441935.8,1.87
2021-01-05,12.83,13.01,12.81,12.53,453565.25,-0.14,-1.08,12.726,12.476,12.658,477069.9,438225.68,463559.41,2.61
2021-01-04,13.29,13.29,12.95,12.74,511448.78,-0.24,-1.82,12.606,12.455,12.737,456953.77,432393.03,501304.94,2.94
2020-12-31,12.54,13.21,13.19,12.3,709533.06,0.76,6.11,12.496,12.418,12.836,440043.33,432789.09,555535.02,4.08
2020-12-30,12.17,12.45,12.43,11.97,362231.34,0.18,1.47,12.336,12.344,12.856,392010.97,412703.99,564740.51,2.08
2020-12-29,12.26,12.52,12.25,12.17,348571.06,0.04,0.33,12.282,12.325,12.942,386791.15,414092.9,616382.92,2.0
2020-12-28,12.28,12.55,12.21,12.12,352984.59,-0.19,-1.53,12.226,12.362,13.001,399381.46,412421.73,643831.57,2.03
2020-12-25,12.17,12.64,12.4,12.05,426896.59,0.01,0.08,12.304,12.423,13.001,407832.29,410142.32,638676.17,2.45
2020-12-24,12.23,12.86,12.39,12.23,469371.28,0.23,1.89,12.34,12.466,12.993,425534.86,410672.19,622290.5,2.7
2020-12-23,12.02,12.24,12.16,11.92,336132.25,0.19,1.59,12.352,12.541,12.975,433397.0,415708.95,602288.02,1.93
