工作Id,工作名字,公司Id,公司名字,薪资
7832862,php开发工程师,137070,成都华栖云科技有限公司,7-10
6369107,硬件工程师,76383,武汉小安科技有限公司,10-15
8076177,服装设计师,85676403,上海歆圣堂实业有限公司,7-11
8131176,H5全栈工程师,71209,好人生管理咨询（上海）有限公司,15-20
7974523,亚马逊运营,168864,广州广尔数码供应链管理股份有限公司,6-9
7918446,java开发工程师,80384,北京创世新强科技有限公司,15-25
8129453,网络工程师,192602,上海直达软件有限公司,10-20
8131175,（网络安全）业务经理,122316077,阿波罗智行科技（广州）有限公司,18-36
6188905,广告销售高级经理,745276,上海激雨科技有限公司,15-25
6961712,风控策略分析师,591162,上海猛犸信息服务有限公司,15-30
7515258,.net高级开发工程师,590825,广东三扬网络科技有限公司,15-25
4707544,跨境电商运营,401484,杭州茂拓工具有限公司,5-10
6595641,上课平台高级产品经理,145375,柔持（北京）科技有限公司,25-40
7640877,电话客服,155970,深圳市换换优品科技有限公司,8-10
6777128,ios高级开发工程师,55021,上海亦存网络科技有限公司,18-30
7838196,Android开发工程师,50702,北京三快在线科技有限公司,25-50
8128214,产品经理,391483,北京小熊博望科技有限公司,15-25
8131179,新媒体运营,417940,广州创品电子商务有限公司,6-7
7726012,前端开发工程师,248005,北京聚和天成科技有限公司,20-35
8087765,python后端开发工程师,591162,上海猛犸信息服务有限公司,11-18
8131178,活动运营,44091,北京自如生活企业管理有限公司,8-15
7832862,php开发工程师,137070,成都华栖云科技有限公司,7-10
6369107,硬件工程师,76383,武汉小安科技有限公司,10-15
8076177,服装设计师,85676403,上海歆圣堂实业有限公司,7-11
8131176,H5全栈工程师,71209,好人生管理咨询（上海）有限公司,15-20
7974523,亚马逊运营,168864,广州广尔数码供应链管理股份有限公司,6-9
7918446,java开发工程师,80384,北京创世新强科技有限公司,15-25
8129453,网络工程师,192602,上海直达软件有限公司,10-20
8131175,（网络安全）业务经理,122316077,阿波罗智行科技（广州）有限公司,18-36
6188905,广告销售高级经理,745276,上海激雨科技有限公司,15-25
6602667,前端工程师,765834,浙江月盛斋投资管理有限公司,20-40
7861622,商务助理/经理,260173,北京星尘纪元智能科技有限公司,7-14
8008775,游戏测试,118480011,亿达信息技术有限公司,6-9
3805644,Unity3d 工程师 (实习),89131,深圳战吼网络科技有限公司,4-5
8035651,企平-商企通-Web前端技术专家-北京,50702,北京三快在线科技有限公司,25-40
7009591,方大房产直招房产经纪人,589578,郑州方大房地产营销策划有限公司,6-11
7885708,java工程师,84502297,深圳市法本信息技术股份有限公司,15-22
8128214,产品经理,391483,北京小熊博望科技有限公司,15-25
8131179,新媒体运营,417940,广州创品电子商务有限公司,6-7
7726012,前端开发工程师,248005,北京聚和天成科技有限公司,20-35
8087765,python后端开发工程师,591162,上海猛犸信息服务有限公司,11-18
8131178,活动运营,44091,北京自如生活企业管理有限公司,8-15
6838163,中级测试工程师,137070,成都华栖云科技有限公司,5-8
6369107,硬件工程师,76383,武汉小安科技有限公司,10-15
8076177,服装设计师,85676403,上海歆圣堂实业有限公司,7-11
6602667,前端工程师,765834,浙江月盛斋投资管理有限公司,20-40
7861622,商务助理/经理,260173,北京星尘纪元智能科技有限公司,7-14
8008775,游戏测试,118480011,亿达信息技术有限公司,6-9
3805644,Unity3d 工程师 (实习),89131,深圳战吼网络科技有限公司,4-5
8035651,企平-商企通-Web前端技术专家-北京,50702,北京三快在线科技有限公司,25-40
7009591,方大房产直招房产经纪人,589578,郑州方大房地产营销策划有限公司,6-11
7885708,java工程师,84502297,深圳市法本信息技术股份有限公司,15-22
8128214,产品经理,391483,北京小熊博望科技有限公司,15-25
8131179,新媒体运营,417940,广州创品电子商务有限公司,6-7
7726012,前端开发工程师,248005,北京聚和天成科技有限公司,20-35
8087765,python后端开发工程师,591162,上海猛犸信息服务有限公司,11-18
8131178,活动运营,44091,北京自如生活企业管理有限公司,8-15
7832862,php开发工程师,137070,成都华栖云科技有限公司,7-10
6369107,硬件工程师,76383,武汉小安科技有限公司,10-15
8076177,服装设计师,85676403,上海歆圣堂实业有限公司,7-11
7697706,商务经理,591162,上海猛犸信息服务有限公司,11-20
7894536,C#.Net 研发工程师( 初级）,69404,杭州杉石科技有限公司,7-10
8126819,java中高级开发工程师,494648,上海文思海辉金信软件有限公司,13-25
5957105,微信运营专员,7790,武汉鼎森电子科技有限公司,4-7
7571572,高级java开发工程师,765834,浙江月盛斋投资管理有限公司,20-25
7817288,前端开发,121844765,北京百特运通科技有限公司,15-25
7056096,医疗行业研究员,117923495,医声医事（北京）科技有限公司,10-20
7861622,商务助理/经理,260173,北京星尘纪元智能科技有限公司,7-14
8008775,游戏测试,118480011,亿达信息技术有限公司,6-9
3805644,Unity3d 工程师 (实习),89131,深圳战吼网络科技有限公司,4-5
8035651,企平-商企通-Web前端技术专家-北京,50702,北京三快在线科技有限公司,25-40
7009591,方大房产直招房产经纪人,589578,郑州方大房地产营销策划有限公司,6-11
7885708,java工程师,84502297,深圳市法本信息技术股份有限公司,15-22
8128214,产品经理,391483,北京小熊博望科技有限公司,15-25
8131179,新媒体运营,417940,广州创品电子商务有限公司,6-7
